"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+005, +1.12362456987E-001, +0.00000000000E+000
+1.01000000000E+007, +7.55246348207E-003, +0.00000000000E+000
+2.01000000000E+007, +5.62861860806E-003, +0.00000000000E+000
+3.01000000000E+007, +1.03459998783E-003, +0.00000000000E+000
+4.01000000000E+007, +6.21096926161E-003, +0.00000000000E+000
+5.01000000000E+007, +8.01106589136E-004, +0.00000000000E+000
+6.01000000000E+007, +4.76302039570E-003, +0.00000000000E+000
+7.01000000000E+007, +5.90052565461E-003, +0.00000000000E+000
+8.01000000000E+007, +7.39812940591E-003, +0.00000000000E+000
+9.01000000000E+007, +4.42804599432E-003, +0.00000000000E+000
+1.00100000000E+008, +4.59289246376E-003, +0.00000000000E+000
+1.10100000000E+008, +7.88104303958E-003, +0.00000000000E+000
+1.20100000000E+008, +7.61262070536E-003, +0.00000000000E+000
+1.30100000000E+008, +6.26901539018E-003, +0.00000000000E+000
+1.40100000000E+008, +7.51190196403E-003, +0.00000000000E+000
+1.50100000000E+008, +6.85752100410E-003, +0.00000000000E+000
+1.60100000000E+008, +6.85667433982E-003, +0.00000000000E+000
+1.70100000000E+008, +7.56424895690E-003, +0.00000000000E+000
+1.80100000000E+008, +3.78911699542E-003, +0.00000000000E+000
+1.90100000000E+008, +7.65033041229E-003, +0.00000000000E+000
+2.00100000000E+008, +7.80106657926E-003, +0.00000000000E+000
+2.10100000000E+008, +2.57139582778E-003, +0.00000000000E+000
+2.20100000000E+008, +2.62553916984E-003, +0.00000000000E+000
+2.30100000000E+008, +1.09594994260E-002, +0.00000000000E+000
+2.40100000000E+008, +4.28140506368E-003, +0.00000000000E+000
+2.50100000000E+008, +5.98661994774E-003, +0.00000000000E+000
+2.60100000000E+008, +8.14838608644E-003, +0.00000000000E+000
+2.70100000000E+008, +8.67437455328E-003, +0.00000000000E+000
+2.80100000000E+008, +1.53709794446E-002, +0.00000000000E+000
+2.90100000000E+008, +1.34410690009E-002, +0.00000000000E+000
+3.00100000000E+008, +4.77222293885E-003, +0.00000000000E+000
+3.10100000000E+008, -2.28961528431E-003, +0.00000000000E+000
+3.20100000000E+008, -2.95664489319E-003, +0.00000000000E+000
+3.30100000000E+008, -6.69691862313E-003, +0.00000000000E+000
+3.40100000000E+008, -2.75403179735E-003, +0.00000000000E+000
+3.50100000000E+008, +1.13382931565E-002, +0.00000000000E+000
+3.60100000000E+008, -1.69362041046E-003, +0.00000000000E+000
+3.70100000000E+008, +5.44204718414E-003, +0.00000000000E+000
+3.80100000000E+008, +2.44759744527E-003, +0.00000000000E+000
+3.90100000000E+008, +2.55663584366E-003, +0.00000000000E+000
+4.00100000000E+008, +2.08591143210E-003, +0.00000000000E+000
+4.10100000000E+008, -3.33931675326E-003, +0.00000000000E+000
+4.20100000000E+008, -2.26540425705E-003, +0.00000000000E+000
+4.30100000000E+008, -6.54701958116E-003, +0.00000000000E+000
+4.40100000000E+008, -2.64020397228E-003, +0.00000000000E+000
+4.50100000000E+008, -1.84804181606E-003, +0.00000000000E+000
+4.60100000000E+008, -2.99576195907E-003, +0.00000000000E+000
+4.70100000000E+008, -2.38693875193E-003, +0.00000000000E+000
+4.80100000000E+008, -3.22213250166E-003, +0.00000000000E+000
+4.90100000000E+008, -3.01280684201E-003, +0.00000000000E+000
+5.00100000000E+008, -3.75899854767E-004, +0.00000000000E+000
+5.10100000000E+008, -7.44049265443E-003, +0.00000000000E+000
+5.20100000000E+008, -6.48686420620E-003, +0.00000000000E+000
+5.30100000000E+008, -4.33959082365E-003, +0.00000000000E+000
+5.40100000000E+008, -3.30777757860E-003, +0.00000000000E+000
+5.50100000000E+008, -2.36499860020E-003, +0.00000000000E+000
+5.60100000000E+008, -1.24110728857E-003, +0.00000000000E+000
+5.70100000000E+008, -3.51850212300E-003, +0.00000000000E+000
+5.80100000000E+008, -4.41923373673E-003, +0.00000000000E+000
+5.90100000000E+008, -3.93471659388E-003, +0.00000000000E+000
+6.00100000000E+008, -2.63304359440E-003, +0.00000000000E+000
+6.10100000000E+008, -4.90661789789E-003, +0.00000000000E+000
+6.20100000000E+008, -2.46123223837E-003, +0.00000000000E+000
+6.30100000000E+008, -4.46116672253E-003, +0.00000000000E+000
+6.40100000000E+008, -4.44868437430E-003, +0.00000000000E+000
+6.50100000000E+008, -6.31517356652E-003, +0.00000000000E+000
+6.60100000000E+008, -6.90101112918E-003, +0.00000000000E+000
+6.70100000000E+008, -8.85126298908E-003, +0.00000000000E+000
+6.80100000000E+008, -4.80426862848E-003, +0.00000000000E+000
+6.90100000000E+008, -1.28759959925E-002, +0.00000000000E+000
+7.00100000000E+008, -6.27583055549E-003, +0.00000000000E+000
+7.10100000000E+008, -8.46949976304E-003, +0.00000000000E+000
+7.20100000000E+008, -5.87769877870E-003, +0.00000000000E+000
+7.30100000000E+008, -9.89922255972E-004, +0.00000000000E+000
+7.40100000000E+008, -6.50978348362E-003, +0.00000000000E+000
+7.50100000000E+008, -9.54411856521E-003, +0.00000000000E+000
+7.60100000000E+008, -1.38311209771E-003, +0.00000000000E+000
+7.70100000000E+008, -2.91087060248E-003, +0.00000000000E+000
+7.80100000000E+008, -1.34443655874E-003, +0.00000000000E+000
+7.90100000000E+008, -4.37090152175E-003, +0.00000000000E+000
+8.00100000000E+008, -1.15282859938E-002, +0.00000000000E+000
+8.10100000000E+008, -5.01499819183E-003, +0.00000000000E+000
+8.20100000000E+008, -9.33205090433E-003, +0.00000000000E+000
+8.30100000000E+008, -8.83139097243E-003, +0.00000000000E+000
+8.40100000000E+008, -9.60985399128E-003, +0.00000000000E+000
+8.50100000000E+008, -1.71859646591E-002, +0.00000000000E+000
+8.60100000000E+008, -1.10860677861E-002, +0.00000000000E+000
+8.70100000000E+008, -1.43216642383E-002, +0.00000000000E+000
+8.80100000000E+008, -1.64627821819E-002, +0.00000000000E+000
+8.90100000000E+008, -1.76255560707E-002, +0.00000000000E+000
+9.00100000000E+008, -1.76930132071E-002, +0.00000000000E+000
+9.10100000000E+008, -1.83123687617E-002, +0.00000000000E+000
+9.20100000000E+008, -2.10697421802E-002, +0.00000000000E+000
+9.30100000000E+008, -1.51878301983E-002, +0.00000000000E+000
+9.40100000000E+008, -1.76828087564E-002, +0.00000000000E+000
+9.50100000000E+008, -2.10506671540E-002, +0.00000000000E+000
+9.60100000000E+008, -2.23693840012E-002, +0.00000000000E+000
+9.70100000000E+008, -2.93133403653E-002, +0.00000000000E+000
+9.80100000000E+008, -2.82443292272E-002, +0.00000000000E+000
+9.90100000000E+008, -2.25487592123E-002, +0.00000000000E+000
